group1,group2,bothTest,bothTrain
2005650,2935650,0,80
2005650,2937653,0,100
2005650,2939650,0,78
2005650,2943650,0,100
2005650,2945660,0,84
2005650,2955670,0,100
2005650,2957680,0,80
2005650,2959660,0,100
2005650,2961650,0,78
2005650,2963670,0,100
2005650,2965650,0,80
2005650,2967680,0,100
2005650,2969650,0,74
2005650,2971660,0,100
2005650,2981651,0,78
2005650,2987670,0,100
2005650,2991650,0,84
2005650,2993690,0,100
2005650,2995660,0,81
2005650,2997651,0,100
2005650,2999650,0,80
2005650,3001670,0,100
2005650,3005653,0,76
2005650,3009670,0,100
2005650,3011651,0,79
2005650,3013653,0,100
2005650,3015650,0,79
2005650,3021690,0,100
2005650,3023652,0,83
2005650,3025650,0,100
2005650,3031650,0,84
2005650,3033660,0,100
2005650,3043652,0,84
2005650,3047652,0,100
2005650,3049660,0,82
2005650,3051650,0,100
2005650,3053650,0,76
2005650,3061660,0,100
2005650,3063660,0,83
2005650,3065652,0,100
2005650,3069660,0,78
2005650,3073680,0,100
2005650,3075653,0,74
2005650,3081660,0,100
2005650,3085650,0,76
2005650,3087661,0,100
2005650,3089650,0,80
2005650,3091650,0,100
2005650,3095670,0,83
2005650,3099680,0,100
2005650,3101650,0,79
2005650,3103670,0,100
2005650,3105660,0,80
2005650,3109650,0,100
2005650,3111650,0,90
2005650,3113650,0,100
2005650,3117652,0,78
2005650,3119660,0,100
2005650,3123653,0,79
2005650,3125660,0,100
2005650,3127690,0,75
2005650,3129670,0,100
2005650,3131650,0,75
2005650,3133652,0,100
2005650,3135660,0,83
2005650,3137650,0,100
2005650,3139650,0,82
2005650,3141652,0,100
2005650,3143650,0,80
2005650,3145650,0,100
2005650,3149653,0,87
2005650,3153670,0,100
2005650,3155690,0,83
2005650,3159650,0,100
2005650,3161650,0,77
2005650,3163690,0,100
2005650,3169650,0,78
2005650,3173650,0,100
2005650,3181650,0,83
2005650,3185650,0,100
2005650,3187680,0,83
2005650,3189650,0,100
2005650,3191650,0,81
2005650,3197670,0,100
2005650,3203680,0,78
2005650,3209651,0,100
2005650,3211670,0,83
2005650,3215650,0,100
2005650,3217660,0,81
2005650,3219650,0,100
2005650,3221650,0,83
2005650,3223650,0,100
2005650,3225690,0,70
2005650,3229650,0,100
2005650,3231650,0,82
2005650,3239650,0,100
2005650,3241660,0,76
2005650,3243680,0,100
2005650,3245680,0,76
2005650,3247652,0,100
2005650,3249650,0,76
2005650,3251653,0,100
2005650,3257660,0,71
2005650,3263650,0,100
2005650,3267660,0,75
2005650,3271650,0,100
2005650,3273652,0,78
2005650,3277650,0,100
2005650,3279650,0,79
2005650,3281670,0,100
2005650,3283690,0,80
2005650,3289650,0,100
2005650,3291670,0,77
2005650,3293653,0,100
2005650,3297650,0,73
