label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
0.03	0.03	2.76022e+07	7.43843e+09	2.53116e+06	3.90625e+06	0.876025	0.99966	0.916001	0.999475	0.916001	0.999139	0.89536	0.895567	
0.03	0.03	2.73096e+07	7.36221e+09	2.38632e+06	3.98521e+06	0.872656	0.999676	0.919642	0.999459	0.919642	0.999139	0.895411	0.895533	
0.03	0.03	2.75918e+07	7.42805e+09	2.51865e+06	3.92059e+06	0.875586	0.999661	0.916353	0.999472	0.916353	0.999137	0.895306	0.895506	
0.03	0.03	2.76139e+07	7.44489e+09	2.52711e+06	3.91608e+06	0.875798	0.999661	0.916157	0.999474	0.916157	0.999138	0.89532	0.895523	
0.03	0.03	2.74358e+07	7.40589e+09	2.52092e+06	3.89474e+06	0.875689	0.99966	0.915848	0.999474	0.915848	0.999138	0.895112	0.895318	
0.03	0.03	2.74417e+07	7.43138e+09	2.43325e+06	4.00912e+06	0.872527	0.999673	0.918552	0.999461	0.918552	0.999137	0.894813	0.894948	
0.03	0.03	2.76131e+07	7.44147e+09	2.53388e+06	3.90779e+06	0.876025	0.99966	0.915949	0.999475	0.915949	0.999138	0.895334	0.895543	
0.03	0.03	2.74866e+07	7.44101e+09	2.39342e+06	4.0285e+06	0.872172	0.999678	0.919899	0.999459	0.919899	0.999141	0.895289	0.8954	
0.03	0.03	2.75827e+07	7.43796e+09	2.53346e+06	3.90209e+06	0.876064	0.99966	0.915877	0.999476	0.915877	0.999139	0.895319	0.895528	
0.03	0.03	2.75617e+07	7.43602e+09	2.4916e+06	3.9555e+06	0.874497	0.999665	0.917094	0.999468	0.917094	0.999137	0.895111	0.895289	
0.03	0.03	2.7528e+07	7.43498e+09	2.49346e+06	3.92418e+06	0.875233	0.999665	0.916944	0.999472	0.916944	0.999141	0.895417	0.895603	
0.03	0.03	2.74846e+07	7.43306e+09	2.39537e+06	4.02594e+06	0.872235	0.999678	0.919834	0.999459	0.919834	0.99914	0.895289	0.895402	
0.03	0.03	2.75103e+07	7.418e+09	2.49776e+06	3.93834e+06	0.874769	0.999663	0.916764	0.999469	0.916764	0.999136	0.895089	0.895274	
0.03	0.03	2.74209e+07	7.43432e+09	2.39377e+06	4.06108e+06	0.871003	0.999678	0.919712	0.999454	0.919712	0.999136	0.894595	0.894695	
0.03	0.03	2.74738e+07	7.44284e+09	2.36102e+06	4.07758e+06	0.870764	0.999683	0.920864	0.999452	0.920864	0.999139	0.895034	0.895113	
0.03	0.03	2.74667e+07	7.4398e+09	2.36364e+06	4.058e+06	0.871275	0.999682	0.920764	0.999455	0.920764	0.999141	0.89525	0.895336	
0.03	0.03	2.75816e+07	7.44089e+09	2.5329e+06	3.90814e+06	0.875892	0.99966	0.915891	0.999475	0.915891	0.999138	0.895237	0.895445	
0.03	0.03	2.76288e+07	7.42554e+09	2.68768e+06	3.78592e+06	0.879486	0.999638	0.911346	0.99949	0.911346	0.999132	0.89484	0.895133	
