label,cutoff,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,fdr,accuracy,mcc,f1score,sample,type
0.03,0.03,370,164266,13,376,0.495979,0.999921,0.966057,0.997716,0.966057,0.997643,0.691328,0.655447,2511650,optifit_in
0.03,0.03,242,135529,4,206,0.540179,0.99997,0.98374,0.998482,0.98374,0.998456,0.728386,0.697406,2513680,optifit_in
0.03,0.03,1002,291959,100,700,0.588719,0.999658,0.909256,0.997608,0.909256,0.997277,0.730464,0.714693,2517650,optifit_in
0.03,0.03,983,547892,78,723,0.576202,0.999858,0.926484,0.998682,0.926484,0.998543,0.730035,0.710517,2519650,optifit_in
0.03,0.03,229,93869,11,286,0.44466,0.999883,0.954167,0.996962,0.954167,0.996854,0.650244,0.606623,2523653,optifit_in
0.03,0.03,211,78239,5,151,0.582873,0.999936,0.976852,0.998074,0.976852,0.998015,0.753787,0.730104,2525651,optifit_in
0.03,0.03,531,292131,35,298,0.640531,0.99988,0.938163,0.998981,0.938163,0.998863,0.774698,0.76129,2527670,optifit_in
0.03,0.03,365,237709,12,309,0.541543,0.99995,0.96817,0.998702,0.96817,0.998653,0.72357,0.694577,2529680,optifit_in
0.03,0.03,140,83173,2,121,0.536398,0.999976,0.985915,0.998547,0.985915,0.998526,0.726664,0.694789,2531651,optifit_in
0.03,0.03,100,53779,3,74,0.574713,0.999944,0.970874,0.998626,0.970874,0.998573,0.746411,0.722022,2535652,optifit_in
0.03,0.03,1438,509500,133,495,0.743921,0.999739,0.915341,0.999029,0.915341,0.998772,0.824609,0.820776,2537670,optifit_in
0.03,0.03,113,41398,1,104,0.520737,0.999976,0.991228,0.997494,0.991228,0.997477,0.717524,0.682779,2539660,optifit_in
0.03,0.03,621,156236,52,171,0.784091,0.999667,0.922734,0.998907,0.922734,0.99858,0.849908,0.847782,2541670,optifit_in
0.03,0.03,124,26380,5,56,0.688889,0.99981,0.96124,0.997882,0.96124,0.997704,0.81274,0.802589,2543653,optifit_in
0.03,0.03,158,35797,16,75,0.678112,0.999553,0.908046,0.997909,0.908046,0.997475,0.783539,0.776413,2545651,optifit_in
0.03,0.03,321,130853,19,135,0.703947,0.999855,0.944118,0.998969,0.944118,0.998827,0.814707,0.80653300000000006,2547670,optifit_in
0.03,0.03,383,308620,14,274,0.582953,0.999955,0.964736,0.999113,0.964736,0.999069,0.749556,0.726755,2551650,optifit_in
0.03,0.03,69,47732,1,93,0.425926,0.999979,0.985714,0.998055,0.985714,0.998037,0.647296,0.594828,2555653,optifit_in
0.03,0.03,239,60334,12,141,0.628947,0.999801,0.952191,0.997668,0.952191,0.99748,0.772802,0.757528,2559650,optifit_in
0.03,0.03,873,267616,55,467,0.651493,0.999795,0.940733,0.998258,0.940733,0.99806,0.782018,0.769841,2565650,optifit_in
0.03,0.03,33,28610,0,37,0.471429,1,1,0.998708,1,0.99871,0.686163,0.640777,2567653,optifit_in
0.03,0.03,1078,343151,89,547,0.663385,0.999741,0.923736,0.998408,0.923736,0.998156,0.781983,0.772206,2571650,optifit_in
0.03,0.03,224,44761,14,151,0.597333,0.999687,0.941176,0.996638,0.941176,0.996346,0.748261,0.730832,2575653,optifit_in
0.03,0.03,746,256157,41,459,0.619087,0.99984,0.947903,0.998211,0.947903,0.998058,0.765229,0.748996,2579680,optifit_in
0.03,0.03,51,10223,3,19,0.728571,0.999707,0.944444,0.998145,0.944444,0.99786299999999994,0.828533,0.822581,2581651,optifit_in
0.03,0.03,735,237618,37,696,0.513627,0.999844,0.952073,0.997079,0.952073,0.996934,0.698113,0.667272,2583650,optifit_in
0.03,0.03,617,237939,41,489,0.557866,0.999828,0.93769,0.997949,0.93769,0.997783,0.722357,0.699546,2587650,optifit_in
0.03,0.03,720,227058,47,325,0.688995,0.999793,0.938722,0.998571,0.938722,0.998369,0.80349,0.794702,2589650,optifit_in
0.03,0.03,365,220167,14,234,0.609349,0.999936,0.963061,0.998938,0.963061,0.998877,0.765592,0.746421,2597670,optifit_in
0.03,0.03,855,608440,36,629,0.576146,0.999941,0.959596,0.998967,0.959596,0.99891,0.743112,0.72,2599650,optifit_in
0.03,0.03,74,13940,2,12,0.860465,0.999857,0.973684,0.99914,0.973684,0.999002,0.914845,0.91358,2603650,optifit_in
0.03,0.03,674,172654,53,374,0.64313,0.999693,0.927098,0.997839,0.927098,0.997543,0.771084,0.759437,2611670,optifit_in
