"","cv_metric_AUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","method","seed","split","algorithm"
"79",0.690676321070211,0.642857142857143,0.26236559139785,NA,NA,0.813941299790356,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_79","opticlust"
"80",0.675287997744448,0.642857142857143,0.299141806293421,NA,NA,0.826345431789737,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_80","opticlust"
"81",0.71064698097911,0.653061224489796,0.300293994120117,NA,NA,0.824572382144347,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_81","opticlust"
"82",0.698272189659995,0.642857142857143,0.271143221419465,NA,NA,0.816680602006689,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_82","opticlust"
"83",0.702170498692153,0.612244897959184,0.192190889370933,NA,NA,0.801631701631702,NA,NA,NA,NA,0.153061224489796,NA,"rf",2021,"split_83","opticlust"
"84",0.697750010966752,0.602040816326531,0.204081632653061,NA,NA,0.801020408163265,NA,NA,NA,NA,0.150510204081633,NA,"rf",2021,"split_84","opticlust"
"85",0.685799486142004,0.642857142857143,0.317005177220231,NA,NA,0.833754208754209,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_85","opticlust"
"86",0.684747854803402,0.683673469387755,0.362568191355434,NA,NA,0.843103448275862,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_86","opticlust"
"87",0.667274337430009,0.724489795918367,0.458452722063037,NA,NA,0.866812682519816,NA,NA,NA,NA,0.181122448979592,NA,"rf",2021,"split_87","opticlust"
"88",0.718049985176666,0.591836734693878,0.171247357293869,NA,NA,0.792240300375469,NA,NA,NA,NA,0.147959183673469,NA,"rf",2021,"split_88","opticlust"
"89",0.696439042821857,0.673469387755102,0.339233038348083,NA,NA,0.833959115561118,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_89","opticlust"
"90",0.679479239188073,0.704081632653061,0.4041928721174,NA,NA,0.850416666666667,NA,NA,NA,NA,0.176020408163265,NA,"rf",2021,"split_90","opticlust"
"91",0.694118781101627,0.63265306122449,0.253175275190517,NA,NA,0.8125,NA,NA,NA,NA,0.158163265306122,NA,"rf",2021,"split_91","opticlust"
"92",0.711349770735894,0.612244897959184,0.192190889370933,NA,NA,0.796828752642706,NA,NA,NA,NA,0.153061224489796,NA,"rf",2021,"split_92","opticlust"
"93",0.694499328226186,0.673469387755102,0.341729638958858,NA,NA,0.834791666666667,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_93","opticlust"
"94",0.686280056386595,0.673469387755102,0.338117349092444,NA,NA,0.833962264150943,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_94","opticlust"
"95",0.665324423522481,0.724489795918367,0.422522915757311,NA,NA,0.851851851851852,NA,NA,NA,NA,0.181122448979592,NA,"rf",2021,"split_95","opticlust"
"96",0.713395002749728,0.612244897959184,0.251005631536605,NA,NA,0.815656565656566,NA,NA,NA,NA,0.153061224489796,NA,"rf",2021,"split_96","opticlust"
"97",0.676019245741112,0.704081632653061,0.3877638948729,NA,NA,0.84469696969697,NA,NA,NA,NA,0.176020408163265,NA,"rf",2021,"split_97","opticlust"
"98",0.704008692399916,0.571428571428571,0.119760479041916,NA,NA,0.779761904761905,NA,NA,NA,NA,0.142857142857143,NA,"rf",2021,"split_98","opticlust"
"99",0.660626298251172,0.744897959183674,0.474924989284184,NA,NA,0.866142557651992,NA,NA,NA,NA,0.186224489795918,NA,"rf",2021,"split_99","opticlust"
